Rel Name,from.type,from.name,from.revision,to.type,to.name,to.revision,Override Settings,Create Trigger,Modify Trigger,Delete Trigger
Classified Item,Document Family,2021B89C10760000C0885E59B1570000005F,B89C10760000C0885E59B1570000005F,ZTENEWTZD,P-24-0026-2021,0,,,,
Classified Item,Document Family,2021B89C10760000C0885E59B1570000005F,B89C10760000C0885E59B1570000005F,ZTENEWTZD,P-24-0029-2021,0,,,,
Classified Item,Document Family,2020B89C10760000C0885E59B1DA00000145,B89C10760000C0885E59B1DA00000145,Document,P-05-0049-2020,0,,,,
Classified Item,Document Family,02-试验策划与试验大纲,B89C10760000D0105E743CBC0000839C,Document,DOC-0001531,0,,,,
Classified Item,Document Family,新物料开发申请表,B89C10760000C0885E59B210000001B9,ZTENEWTZD,DOC-0001922,0,,,,
Classified Item,Document Family,2021B89C10760000C0885E59B1DA00000145,B89C10760000C0885E59B1DA00000145,ZTENEWTZD,P-05-0053-2021,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000167,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000168,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000170,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000173,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000174,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000175,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000176,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000181,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000183,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000186,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000187,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000169,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000172,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000184,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000188,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000189,0,,,,
Classified Item,Document Family,01-通知,B89C10760000C0885E59B610000019A6,Document,【2020】007号,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000164,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000165,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000166,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000171,0,,,,
Classified Item,Document Family,01-产品标准配置表,B89C1076000097EC5E58D2DF0001217C,Document,P-PM-10（文件代号）-00XX（序号）-20XX,0,,,,
Classified Item,Document Family,2021B89C10760000C0885E59B1570000005F,B89C10760000C0885E59B1570000005F,ZTENEWTZD,P-24-0027-2021,0,,,,
Classified Item,Document Family,2021B89C10760000C0885E59B22B00000202,B89C10760000C0885E59B22B00000202,ZTENEWTZD,P-13-0043-2021,0,,,,
Classified Item,Document Family,2021B89C10760000C0885E59B22B00000202,B89C10760000C0885E59B22B00000202,ZTENEWJSWJ,P-13-0042-2021,0,,,,
Classified Item,Document Family,02-试验策划与试验大纲,B89C10760000D0105E743CBC0000839C,ZTENEWTZD,DOC-0001925,0,,,,
